Game_id;Black;White;Resoult;Accuracy;Moves;My_rating;Opponent_rating;Date
1;Aviozek;Jclopeh;Win;72,8;39;1200;1256;22,06,2022
2;Aviozek;elio2500;Win;65;29;1190;1213;22,06,2022
3;khalajbahram;Aviozek;Win;85,9;51;1181;1151;22,06,2022
4;Aviozek;masoudpouradam;Lose;79,8;71;1173;1099;20,06,2022
5;Sabarinaths;Aviozek;Win;83;12;1183;1145;20,06,2022
6;Katzuya;Aviozek;Win;88;39;1176;1104;20,06,2022
7;Aviozek;arames67;Lose;78,8;18;1169;1150;20,06,2022
8;Aviozek;bruno_bresha;Lose;60,5;33;1178;1159;20,06,2022
9;pandayr;Aviozek;Win;75,7;24;1187;1240;20,06,2022
10;pcj101;Aviozek;Lose;69,6;14;1177;1200;20,06,2022
11;Aviozek;Orucov74;Lose;74,5;10;1185;1106;17,06,2022
12;Aviozek;bykl25;Win;84,3;55;1195;1032;17,06,2022
13;ali_ssh;Aviozek;Lose;66,5;21;1187;1264;17,06,2022
14;Aviozek;SIGMA_MALEQ;Win;75,8;72;1194;1108;17,06,2022
15;Aviozek;adi4557;Lose;81,8;26;1188;1236;16,06,2022
16;Smurf54279;Aviozek;Win;81,1;19;1195;1096;16,06,2022
17;Chahatschahat;Aviozek;Win;86,5;23;1189;1090;16,06,2022
18;Aviozek;FUTUREBOY7;Win;77,1;56;1183;1248;15,06,2022
19;Aviozek;Nusharif;Win;83,2;66;1173;1197;15,06,2022
20;Loord306;Aviozek;Win;79,1;24;1164;1210;15,06,2022
21;Aviozek;Knightwatching;Lose;58,6;33;1155;1151;14,06,2022
22;Kevindo3;Aviozek;Win;83,6;15;1164;1217;13,06,2022
23;vladimirmalyuta;Aviozek;Win;74,4;53;1154;1153;13,06,2022
24;aleorofino;Aviozek;Win;76,8;44;1146;1044;12,06,2022
25;Aviozek;Marko_143;Win;94,6;10;1140;987;12,06,2022
26;Aviozek;klepci;Lose;67,1;16;1131;1117;12,06,2022
27;Aviozek;Myname077;Win;99,3;6;1140;1074;12,06,2022
28;matt66458;Aviozek;Lose;70,9;15;1133;1141;12,06,2022
29;Aviozek;SethariusII;Win;75,2;59;1141;1062;11,06,2022
30;Aviozek;ykrishanthi;Win;84,5;10;1135;1110;10,06,2022
31;SissyAvatar;Aviozek;Win;76;38;1127;1164;10,06,2022
32;Aviozek;awesomezorz;Lose;56,1;14;1118;1107;10,06,2022
33;Aviozek;AkshayGujarcr7;Lose;66,6;30;1127;1087;10,06,2022
34;vnaveen8894;Aviozek;Lose;76,5;8;1136;1125;10,06,2022
35;samurainero50;Aviozek;Win;79,3;49;1145;1109;10,06,2022
36;Henrik_Geiran;Aviozek;Lose;73,6;71;1137;1132;10,06,2022
37;Murfi2;Aviozek;Win;62,1;27;1145;1175;09,06,2022
38;Aviozek;Shafiq123455;Win;70,1;48;1136;1151;09,06,2022
39;Aviozek;Malko1001;Win;79,6;39;1127;1109;09,06,2022
40;Henry153;Aviozek;Win;84,9;13;1119;1105;09,06,2022
41;Aviozek;GRtrain;Lose;86,2;42;1110;1110;09,06,2022
42;Anamgess77;Aviozek;Lose;70,7;41;1119;1181;09,06,2022
43;Aviozek;bhenkabhai;Win;75,3;21;1127;1035;09,06,2022
44;matmar1940;Aviozek;Tie;87,4;43;1120;1141;07,06,2022
45;Aviozek;newgammer;Win;63,7;23;1119;1159;07,06,2022
46;drkylcndg1;Aviozek;Win;75,7;30;1108;1103;06,06,2022
47;ramin_fatahii;Aviozek;Win;82,1;46;1098;985;06,06,2022
48;ChapolinEnxadrista;Aviozek;Win;76,8;16;1091;1050;06,06,2022
49;Aviozek;saltrince;Win;68,2;22;1081;1027;06,06,2022
50;Aviozek;xM3gix;Win;87,8;55;1072;964;06,06,2022
51;Geo123mkl;Aviozek;Lose;72,8;23;1064;1128;06,06,2022
52;diman45shveika;Aviozek;Lose;74,2;33;1074;1034;06,06,2022
53;Aviozek;ranger5333333;Win;86,9;46;1087;974;06,06,2022
54;Aviozek;AUXY_1;Lose;75,6;18;1078;1077;06,06,2022
55;Aviozek;lolimini123;Win;72,9;25;1091;1060;06,06,2022
56;Mayrambek01;Aviozek;Win;85,2;37;1079;1076;06,06,2022
57;Cendol1500;Aviozek;Lose;72,8;26;1065;1029;06,06,2022
58;Aviozek;Dactylin;Lose;71,9;11;1081;1184;06,06,2022
59;SCATIVCRMN;Aviozek;Win;76,3;47;1091;1147;06,06,2022
60;Aviozek;Logan2810;Win;69;51;1073;1054;05,06,2022
61;Aviozek;gadgj;Win;88,5;18;1058;1079;01,06,2022
62;wAikawAKizunAw;Aviozek;Win;84;45;1041;968;30,05,2022
63;Aviozek;Yrevich;Lose;70,6;19;1028;1132;08,04,2022
64;Rupesh_Indulkar;Aviozek;Lose;58;44;1037;1119;08,04,2022
65;yadgari1998;Aviozek;Win;66,8;53;1047;1044;08,04,2022
66;Aviozek;gambhirpratap;Win;89,9;44;1034;1010;08,04,2022
67;Aviozek;21thESQUIZOIDMAN;Win;85,9;34;1022;912;16,02,2022
68;Longconner;Aviozek;Win;75,2;69;1016;967;16,02,2022
69;Hakumonto;Aviozek;Lose;49,4;8;1008;1017;16,02,2022
70;Aviozek;vanemariani;Lose;71,8;33;1017;1090;10,01,2022
71;Aviozek;VehbiM;Win;68,7;30;1024;1000;10,01,2022
72;rafiffadhil87;Aviozek;Win;59,3;35;1016;1033;10,01,2022
73;Brinjal_Blaster;Aviozek;Lose;72,1;26;1007;997;10,01,2022
74;Aviozek;Noteipon;Win;100;6;1016;956;24,12,2021
75;VRK1961;Aviozek;Lose;62,6;14;1009;979;24,12,2021
76;Aviozek;Heitorr123;Lose;75,3;27;1018;1023;24,12,2021
77;Aviozek;Asspatroler;Lose;75,3;62;1026;1028;24,12,2021
78;A_Soka;Aviozek;Win;84,5;87;1034;1001;24,12,2021
79;Aviozek;Papi-Palastro;Tie;69,2;51;1026;1004;24,12,2021
80;Aviozek;Syedhussain786;Lose;71,5;32;1027;1056;23,12,2021
81;hmadafathy;Aviozek;Lose;51;16;1035;1159;23,12,2021
82;Aviozek;claudiocameli;Lose;65,4;21;1041;1036;22,12,2021
83;Aviozek;kingEaster98;Win;81,7;24;1049;977;22,12,2021
84;usmanliaqat36;Aviozek;Win;79,2;11;1042;991;07,12,2021
85;Aviozek;shole2706;Win;78,2;23;1035;1009;07,12,2021
86;Elephant5797;Aviozek;Win;75,2;28;1027;1021;07,12,2021
87;yon123456;Aviozek;Win;83,7;26;1019;912;06,12,2021
88;joerules007;Aviozek;Win;71,8;73;1013;1009;06,12,2021
89;Aviozek;taysi14;Win;78,9;31;1005;961;06,12,2021
90;Aviozek;Wrangler60;Win;70,6;49;997;885;06,12,2021
