;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aviozek(1120);½;87.4;43;07.cze.22;;1120;Tie;87.4;43;07.06.2022;;Aviozek;Tie;87.4;43;07.06.2022;;Aviozek;1120;Tie;87.4;43;07.06.2022;;;Aviozek;matmar1940;;;;;;;1120;;;;;1019;912;;
matmar1940(1141);½;84.8;;;;1141;Tie;84.8;;;;matmar1940;Tie;84.8;;;;matmar1940;1141;Tie;84.8;;;;;;;;;43;;07.06.2022;;;1141;;;;1013;1009;;
newgammer(1159);0;55.3;23;07.cze.22;;1159;Lose;55.3;23;07.06.2022;;newgammer;Lose;55.3;23;07.06.2022;;newgammer;1159;Lose;55.3;23;07.06.2022;;;newgammer;Aviozek;;;;;;;;1159;;;;1005;961;;
Aviozek(1119);1;63.7;;;;1119;Win;63.7;;;;Aviozek;Win;63.7;;;;Aviozek;1119;Win;63.7;;;;;;;;;23;;07.06.2022;;1119;;;;;997;885;;
Aviozek(1108);1;75.7;30;06.cze.22;;1108;Win;75.7;30;06.06.2022;;Aviozek;Win;75.7;30;06.06.2022;;Aviozek;1108;Win;75.7;30;06.06.2022;;;Aviozek;drkylcndg1;;;;;;;1108;;;;;;;;
drkylcndg1(1103);0;58.8;;;;1103;Lose;58.8;;;;drkylcndg1;Lose;58.8;;;;drkylcndg1;1103;Lose;58.8;;;;;;;;;30;;06.06.2022;;;1103;;;;;;;
Aviozek(1098);1;82.1;46;06.cze.22;;1098;Win;82.1;46;06.06.2022;;Aviozek;Win;82.1;46;06.06.2022;;Aviozek;1098;Win;82.1;46;06.06.2022;;;Aviozek;ramin_fatahii;;;;;;;1098;;;;;;;;
ramin_fatahii(985);0;74.5;;;;985;Lose;74.5;;;;ramin_fatahii;Lose;74.5;;;;ramin_fatahii;985;Lose;74.5;;;;;;;;;46;;06.06.2022;;;985;;;;;;;
Aviozek(1091);1;76.8;16;06.cze.22;;1091;Win;76.8;16;06.06.2022;;Aviozek;Win;76.8;16;06.06.2022;;Aviozek;1091;Win;76.8;16;06.06.2022;;;Aviozek;ChapolinEnxadrista;;;;;;;1091;;;;;;;;
ChapolinEnxadrista(1050);0;51;;;;1050;Lose;51;;;;ChapolinEnxadrista;Lose;51;;;;ChapolinEnxadrista;1050;Lose;51;;;;;;;;;16;;06.06.2022;;;1050;;;;;;;
saltrince(1027);0;57.7;22;06.cze.22;;1027;Lose;57.7;22;06.06.2022;;saltrince;Lose;57.7;22;06.06.2022;;saltrince;1027;Lose;57.7;22;06.06.2022;;;saltrince;Aviozek;;;;;;;;1027;;;;;;;
Aviozek(1081);1;68.2;;;;1081;Win;68.2;;;;Aviozek;Win;68.2;;;;Aviozek;1081;Win;68.2;;;;;;;;;22;;06.06.2022;;1081;;;;;;;;
xM3gix(964);0;80.2;55;06.cze.22;;964;Lose;80.2;55;06.06.2022;;xM3gix;Lose;80.2;55;06.06.2022;;xM3gix;964;Lose;80.2;55;06.06.2022;;;xM3gix;Aviozek;;;;;;;;964;;;;;;;
Aviozek(1072);1;87.8;;;;1072;Win;87.8;;;;Aviozek;Win;87.8;;;;Aviozek;1072;Win;87.8;;;;;;;;;55;;06.06.2022;;1072;;;;;;;;
Aviozek(1064);0;72.8;23;06.cze.22;;1064;Lose;72.8;23;06.06.2022;;Aviozek;Lose;72.8;23;06.06.2022;;Aviozek;1064;Lose;72.8;23;06.06.2022;;;Aviozek;Geo123mkl;;;;;;;1064;;;;;;;;
Geo123mkl(1128);1;84.4;;;;1128;Win;84.4;;;;Geo123mkl;Win;84.4;;;;Geo123mkl;1128;Win;84.4;;;;;;;;;23;;06.06.2022;;;1128;;;;;;;
Aviozek(1074);0;74.2;33;06.cze.22;;1074;Lose;74.2;33;06.06.2022;;Aviozek;Lose;74.2;33;06.06.2022;;Aviozek;1074;Lose;74.2;33;06.06.2022;;;Aviozek;diman45shveika;;;;;;;1074;;;;;;;;
diman45shveika(1034);1;80.5;;;;1034;Win;80.5;;;;diman45shveika;Win;80.5;;;;diman45shveika;1034;Win;80.5;;;;;;;;;33;;06.06.2022;;;1034;;;;;;;
ranger5333333(974);0;72;46;06.cze.22;;974;Lose;72;46;06.06.2022;;ranger5333333;Lose;72;46;06.06.2022;;ranger5333333;974;Lose;72;46;06.06.2022;;;ranger5333333;Aviozek;;;;;;;;974;;;;;;;
Aviozek(1087);1;86.9;;;;1087;Win;86.9;;;;Aviozek;Win;86.9;;;;Aviozek;1087;Win;86.9;;;;;;;;;46;;06.06.2022;;1087;;;;;;;;
AUXY_1(1077);1;85.5;18;06.cze.22;;1077;Win;85.5;18;06.06.2022;;AUXY_1;Win;85.5;18;06.06.2022;;AUXY_1;1077;Win;85.5;18;06.06.2022;;;AUXY_1;Aviozek;;;;;;;;1077;;;;;;;
Aviozek(1078);0;75.6;;;;1078;Lose;75.6;;;;Aviozek;Lose;75.6;;;;Aviozek;1078;Lose;75.6;;;;;;;;;18;;06.06.2022;;1078;;;;;;;;
lolimini123(1060);0;62.5;25;06.cze.22;;1060;Lose;62.5;25;06.06.2022;;lolimini123;Lose;62.5;25;06.06.2022;;lolimini123;1060;Lose;62.5;25;06.06.2022;;;lolimini123;Aviozek;;;;;;;;1060;;;;;;;
Aviozek(1091);1;72.9;;;;1091;Win;72.9;;;;Aviozek;Win;72.9;;;;Aviozek;1091;Win;72.9;;;;;;;;;25;;06.06.2022;;1091;;;;;;;;
Aviozek(1079);1;85.2;37;06.cze.22;;1079;Win;85.2;37;06.06.2022;;Aviozek;Win;85.2;37;06.06.2022;;Aviozek;1079;Win;85.2;37;06.06.2022;;;Aviozek;Mayrambek01;;;;;;;1079;;;;;;;;
Mayrambek01(1076);0;74.9;;;;1076;Lose;74.9;;;;Mayrambek01;Lose;74.9;;;;Mayrambek01;1076;Lose;74.9;;;;;;;;;37;;06.06.2022;;;1076;;;;;;;
Aviozek(1065);0;59.6;26;06.cze.22;;1065;Lose;59.6;26;06.06.2022;;Aviozek;Lose;59.6;26;06.06.2022;;Aviozek;1065;Lose;59.6;26;06.06.2022;;;Aviozek;Cendol1500;;;;;;;1065;;;;;;;;
Cendol1500(1029);1;72.8;;;;1029;Win;72.8;;;;Cendol1500;Win;72.8;;;;Cendol1500;1029;Win;72.8;;;;;;;;;26;;06.06.2022;;;1029;;;;;;;
Dactylin(1184);1;92.4;11;06.cze.22;;1184;Win;92.4;11;06.06.2022;;Dactylin;Win;92.4;11;06.06.2022;;Dactylin;1184;Win;92.4;11;06.06.2022;;;Dactylin;Aviozek;;;;;;;;1184;;;;;;;
Aviozek(1081);0;71.9;;;;1081;Lose;71.9;;;;Aviozek;Lose;71.9;;;;Aviozek;1081;Lose;71.9;;;;;;;;;11;;06.06.2022;;1081;;;;;;;;
Aviozek(1091);1;76.3;47;06.cze.22;;1091;Win;76.3;47;06.06.2022;;Aviozek;Win;76.3;47;06.06.2022;;Aviozek;1091;Win;76.3;47;06.06.2022;;;Aviozek;SCATIVCRMN;;;;;;;1091;;;;;;;;
SCATIVCRMN(1147);0;75.6;;;;1147;Lose;75.6;;;;SCATIVCRMN;Lose;75.6;;;;SCATIVCRMN;1147;Lose;75.6;;;;;;;;;47;;06.06.2022;;;1147;;;;;;;
Logan2810(1054);0;63.4;51;05.cze.22;;1054;Lose;63.4;51;05.06.2022;;Logan2810;Lose;63.4;51;05.06.2022;;Logan2810;1054;Lose;63.4;51;05.06.2022;;;Logan2810;Aviozek;;;;;;;;1054;;;;;;;
Aviozek(1073);1;69;;;;1073;Win;69;;;;Aviozek;Win;69;;;;Aviozek;1073;Win;69;;;;;;;;;51;;05.06.2022;;1073;;;;;;;;
gadgj(1079);0;64.6;18;01.cze.22;;1079;Lose;64.6;18;01.06.2022;;gadgj;Lose;64.6;18;01.06.2022;;gadgj;1079;Lose;64.6;18;01.06.2022;;;gadgj;Aviozek;;;;;;;;1079;;;;;;;
Aviozek(1058);1;88.5;;;;1058;Win;88.5;;;;Aviozek;Win;88.5;;;;Aviozek;1058;Win;88.5;;;;;;;;;18;;01.06.2022;;1058;;;;;;;;
Aviozek(1041);1;84;45;30.maj.22;;1041;Win;84;45;30.05.2022;;Aviozek;Win;84;45;30.05.2022;;Aviozek;1041;Win;84;45;30.05.2022;;;Aviozek;wAikawAKizunAw;;;;;;;1041;;;;;;;;
wAikawAKizunAw(968);0;72.4;;;;968;Lose;72.4;;;;wAikawAKizunAw;Lose;72.4;;;;wAikawAKizunAw;968;Lose;72.4;;;;;;;;;45;;30.05.2022;;;968;;;;;;;
Yrevich(1132);1;84.2;19;08.kwi.22;;1132;Win;84.2;19;08.04.2022;;Yrevich;Win;84.2;19;08.04.2022;;Yrevich;1132;Win;84.2;19;08.04.2022;;;Yrevich;Aviozek;;;;;;;;1132;;;;;;;
Aviozek(1028);0;70.6;;;;1028;Lose;70.6;;;;Aviozek;Lose;70.6;;;;Aviozek;1028;Lose;70.6;;;;;;;;;19;;08.04.2022;;1028;;;;;;;;
Aviozek(1037);0;58;44;08.kwi.22;;1037;Lose;58;44;08.04.2022;;Aviozek;Lose;58;44;08.04.2022;;Aviozek;1037;Lose;58;44;08.04.2022;;;Aviozek;Rupesh_Indulkar;;;;;;;1037;;;;;;;;
Rupesh_Indulkar(1119);1;68.4;;;;1119;Win;68.4;;;;Rupesh_Indulkar;Win;68.4;;;;Rupesh_Indulkar;1119;Win;68.4;;;;;;;;;44;;08.04.2022;;;1119;;;;;;;
Aviozek(1047);1;66.8;53;08.kwi.22;;1047;Win;66.8;53;08.04.2022;;Aviozek;Win;66.8;53;08.04.2022;;Aviozek;1047;Win;66.8;53;08.04.2022;;;Aviozek;yadgari1998;;;;;;;1047;;;;;;;;
yadgari1998(1044);0;58.3;;;;1044;Lose;58.3;;;;yadgari1998;Lose;58.3;;;;yadgari1998;1044;Lose;58.3;;;;;;;;;53;;08.04.2022;;;1044;;;;;;;
gambhirpratap(1010);0;77.6;44;08.kwi.22;;1010;Lose;77.6;44;08.04.2022;;gambhirpratap;Lose;77.6;44;08.04.2022;;gambhirpratap;1010;Lose;77.6;44;08.04.2022;;;gambhirpratap;Aviozek;;;;;;;;1010;;;;;;;
Aviozek(1034);1;89.9;;;;1034;Win;89.9;;;;Aviozek;Win;89.9;;;;Aviozek;1034;Win;89.9;;;;;;;;;44;;08.04.2022;;1034;;;;;;;;
21thESQUIZOIDMAN(912);0;73.5;34;16.lut.22;;912;Lose;73.5;34;16.02.2022;;21thESQUIZOIDMAN;Lose;73.5;34;16.02.2022;;21thESQUIZOIDMAN;912;Lose;73.5;34;16.02.2022;;;21thESQUIZOIDMAN;Aviozek;;;;;;;;912;;;;;;;
Aviozek(1022);1;85.9;;;;1022;Win;85.9;;;;Aviozek;Win;85.9;;;;Aviozek;1022;Win;85.9;;;;;;;;;34;;16.02.2022;;1022;;;;;;;;
Aviozek(1016);1;75.2;69;16.lut.22;;1016;Win;75.2;69;16.02.2022;;Aviozek;Win;75.2;69;16.02.2022;;Aviozek;1016;Win;75.2;69;16.02.2022;;;Aviozek;Longconner;;;;;;;1016;;;;;;;;
Longconner(967);0;72.5;;;;967;Lose;72.5;;;;Longconner;Lose;72.5;;;;Longconner;967;Lose;72.5;;;;;;;;;69;;16.02.2022;;;967;;;;;;;
Aviozek(1008);0;49.4;8;16.lut.22;;1008;Lose;49.4;8;16.02.2022;;Aviozek;Lose;49.4;8;16.02.2022;;Aviozek;1008;Lose;49.4;8;16.02.2022;;;Aviozek;Hakumonto;;;;;;;1008;;;;;;;;
Hakumonto(1017);1;41.7;;;;1017;Win;41.7;;;;Hakumonto;Win;41.7;;;;Hakumonto;1017;Win;41.7;;;;;;;;;8;;16.02.2022;;;1017;;;;;;;
vanemariani(1090);1;85.9;33;10.sty.22;;1090;Win;85.9;33;10.01.2022;;vanemariani;Win;85.9;33;10.01.2022;;vanemariani;1090;Win;85.9;33;10.01.2022;;;vanemariani;Aviozek;;;;;;;;1090;;;;;;;
Aviozek(1017);0;71.8;;;;1017;Lose;71.8;;;;Aviozek;Lose;71.8;;;;Aviozek;1017;Lose;71.8;;;;;;;;;33;;10.01.2022;;1017;;;;;;;;
VehbiM(1000);0;65.8;30;10.sty.22;;1000;Lose;65.8;30;10.01.2022;;VehbiM;Lose;65.8;30;10.01.2022;;VehbiM;1000;Lose;65.8;30;10.01.2022;;;VehbiM;Aviozek;;;;;;;;1000;;;;;;;
Aviozek(1024);1;68.7;;;;1024;Win;68.7;;;;Aviozek;Win;68.7;;;;Aviozek;1024;Win;68.7;;;;;;;;;30;;10.01.2022;;1024;;;;;;;;
Aviozek(1016);1;59.3;35;10.sty.22;;1016;Win;59.3;35;10.01.2022;;Aviozek;Win;59.3;35;10.01.2022;;Aviozek;1016;Win;59.3;35;10.01.2022;;;Aviozek;rafiffadhil87;;;;;;;1016;;;;;;;;
rafiffadhil87(1033);0;50.8;;;;1033;Lose;50.8;;;;rafiffadhil87;Lose;50.8;;;;rafiffadhil87;1033;Lose;50.8;;;;;;;;;35;;10.01.2022;;;1033;;;;;;;
Aviozek(1007);0;60.2;26;10.sty.22;;1007;Lose;60.2;26;10.01.2022;;Aviozek;Lose;60.2;26;10.01.2022;;Aviozek;1007;Lose;60.2;26;10.01.2022;;;Aviozek;Brinjal_Blaster;;;;;;;1007;;;;;;;;
Brinjal_Blaster(997);1;72.1;;;;997;Win;72.1;;;;Brinjal_Blaster;Win;72.1;;;;Brinjal_Blaster;997;Win;72.1;;;;;;;;;26;;10.01.2022;;;997;;;;;;;
Noteipon(956);0;48.7;6;24.gru.21;;956;Lose;48.7;6;24.12.2021;;Noteipon;Lose;48.7;6;24.12.2021;;Noteipon;956;Lose;48.7;6;24.12.2021;;;Noteipon;Aviozek;;;;;;;;956;;;;;;;
Aviozek(1016);1;100;;;;1016;Win;100;;;;Aviozek;Win;100;;;;Aviozek;1016;Win;100;;;;;;;;;6;;24.12.2021;;1016;;;;;;;;
Aviozek(1009);0;62.6;14;24.gru.21;;1009;Lose;62.6;14;24.12.2021;;Aviozek;Lose;62.6;14;24.12.2021;;Aviozek;1009;Lose;62.6;14;24.12.2021;;;Aviozek;VRK1961;;;;;;;1009;;;;;;;;
VRK1961(979);1;86.2;;;;979;Win;86.2;;;;VRK1961;Win;86.2;;;;VRK1961;979;Win;86.2;;;;;;;;;14;;24.12.2021;;;979;;;;;;;
Heitorr123(1023);1;84;27;24.gru.21;;1023;Win;84;27;24.12.2021;;Heitorr123;Win;84;27;24.12.2021;;Heitorr123;1023;Win;84;27;24.12.2021;;;Heitorr123;Aviozek;;;;;;;;1023;;;;;;;
Aviozek(1018);0;72.3;;;;1018;Lose;72.3;;;;Aviozek;Lose;72.3;;;;Aviozek;1018;Lose;72.3;;;;;;;;;27;;24.12.2021;;1018;;;;;;;;
Asspatroler(1028);1;85.7;62;24.gru.21;;1028;Win;85.7;62;24.12.2021;;Asspatroler;Win;85.7;62;24.12.2021;;Asspatroler;1028;Win;85.7;62;24.12.2021;;;Asspatroler;Aviozek;;;;;;;;1028;;;;;;;
Aviozek(1026);0;75.3;;;;1026;Lose;75.3;;;;Aviozek;Lose;75.3;;;;Aviozek;1026;Lose;75.3;;;;;;;;;62;;24.12.2021;;1026;;;;;;;;
Aviozek(1034);1;84.5;87;24.gru.21;;1034;Win;84.5;87;24.12.2021;;Aviozek;Win;84.5;87;24.12.2021;;Aviozek;1034;Win;84.5;87;24.12.2021;;;Aviozek;A_Soka;;;;;;;1034;;;;;;;;
A_Soka(1001);0;80.5;;;;1001;Lose;80.5;;;;A_Soka;Lose;80.5;;;;A_Soka;1001;Lose;80.5;;;;;;;;;87;;24.12.2021;;;1001;;;;;;;
Papi-Palastro(1004);½;71.9;51;24.gru.21;;1004;Tie;71.9;51;24.12.2021;;Papi-Palastro;Tie;71.9;51;24.12.2021;;Papi-Palastro;1004;Tie;71.9;51;24.12.2021;;;Papi-Palastro;Aviozek;;;;;;;;1004;;;;;;;
Aviozek(1026);½;69.2;;;;1026;Tie;69.2;;;;Aviozek;Tie;69.2;;;;Aviozek;1026;Tie;69.2;;;;;;;;;51;;24.12.2021;;1026;;;;;;;;
Syedhussain786(1056);1;77.5;32;23.gru.21;;1056;Win;77.5;32;23.12.2021;;Syedhussain786;Win;77.5;32;23.12.2021;;Syedhussain786;1056;Win;77.5;32;23.12.2021;;;Syedhussain786;Aviozek;;;;;;;;1056;;;;;;;
Aviozek(1027);0;71.5;;;;1027;Lose;71.5;;;;Aviozek;Lose;71.5;;;;Aviozek;1027;Lose;71.5;;;;;;;;;32;;23.12.2021;;1027;;;;;;;;
Aviozek(1035);0;51;16;23.gru.21;;1035;Lose;51;16;23.12.2021;;Aviozek;Lose;51;16;23.12.2021;;Aviozek;1035;Lose;51;16;23.12.2021;;;Aviozek;hmadafathy;;;;;;;1035;;;;;;;;
hmadafathy(1159);1;64.2;;;;1159;Win;64.2;;;;hmadafathy;Win;64.2;;;;hmadafathy;1159;Win;64.2;;;;;;;;;16;;23.12.2021;;;1159;;;;;;;
claudiocameli(1036);1;65.7;21;22.gru.21;;1036;Win;65.7;21;22.12.2021;;claudiocameli;Win;65.7;21;22.12.2021;;claudiocameli;1036;Win;65.7;21;22.12.2021;;;claudiocameli;Aviozek;;;;;;;;1036;;;;;;;
Aviozek(1041);0;65.4;;;;1041;Lose;65.4;;;;Aviozek;Lose;65.4;;;;Aviozek;1041;Lose;65.4;;;;;;;;;21;;22.12.2021;;1041;;;;;;;;
kingEaster98(977);0;66.9;24;22.gru.21;;977;Lose;66.9;24;22.12.2021;;kingEaster98;Lose;66.9;24;22.12.2021;;kingEaster98;977;Lose;66.9;24;22.12.2021;;;kingEaster98;Aviozek;;;;;;;;977;;;;;;;
Aviozek(1049);1;81.7;;;;1049;Win;81.7;;;;Aviozek;Win;81.7;;;;Aviozek;1049;Win;81.7;;;;;;;;;24;;22.12.2021;;1049;;;;;;;;
Aviozek(1042);1;79.2;11;07.gru.21;;1042;Win;79.2;11;07.12.2021;;Aviozek;Win;79.2;11;07.12.2021;;Aviozek;1042;Win;79.2;11;07.12.2021;;;Aviozek;usmanliaqat36;;;;;;;1042;;;;;;;;
usmanliaqat36(991);0;59.6;;;;991;Lose;59.6;;;;usmanliaqat36;Lose;59.6;;;;usmanliaqat36;991;Lose;59.6;;;;;;;;;11;;07.12.2021;;;991;;;;;;;
shole2706(1009);0;65.9;23;07.gru.21;;1009;Lose;65.9;23;07.12.2021;;shole2706;Lose;65.9;23;07.12.2021;;shole2706;1009;Lose;65.9;23;07.12.2021;;;shole2706;Aviozek;;;;;;;;1009;;;;;;;
Aviozek(1035);1;78.2;;;;1035;Win;78.2;;;;Aviozek;Win;78.2;;;;Aviozek;1035;Win;78.2;;;;;;;;;23;;07.12.2021;;1035;;;;;;;;
Aviozek(1027);1;75.2;28;07.gru.21;;1027;Win;75.2;28;07.12.2021;;Aviozek;Win;75.2;28;07.12.2021;;Aviozek;1027;Win;75.2;28;07.12.2021;;;Aviozek;Elephant5797;;;;;;;1027;;;;;;;;
Elephant5797(1021);0;72;;;;1021;Lose;72;;;;Elephant5797;Lose;72;;;;Elephant5797;1021;Lose;72;;;;;;;;;28;;07.12.2021;;;1021;;;;;;;
Aviozek(1019);1;83.7;26;06.gru.21;;1019;Win;83.7;26;06.12.2021;;Aviozek;Win;83.7;26;06.12.2021;;Aviozek;1019;Win;83.7;26;06.12.2021;;;Aviozek;yon123456;;;;;;;1019;;;;;;;;
yon123456(912);0;71.6;;;;912;Lose;71.6;;;;yon123456;Lose;71.6;;;;yon123456;912;Lose;71.6;;;;;;;;;26;;06.12.2021;;;912;;;;;;;
Aviozek(1013);1;71.8;73;06.gru.21;;1013;Win;71.8;73;06.12.2021;;Aviozek;Win;71.8;73;06.12.2021;;Aviozek;1013;Win;71.8;73;06.12.2021;;;Aviozek;joerules007;;;;;;;1013;;;;;;;;
joerules007(1009);0;63.7;;;;1009;Lose;63.7;;;;joerules007;Lose;63.7;;;;joerules007;1009;Lose;63.7;;;;;;;;;73;;06.12.2021;;;1009;;;;;;;
taysi14(961);0;65.1;31;06.gru.21;;961;Lose;65.1;31;06.12.2021;;taysi14;Lose;65.1;31;06.12.2021;;taysi14;961;Lose;65.1;31;06.12.2021;;;taysi14;Aviozek;;;;;;;;961;;;;;;;
Aviozek(1005);1;78.9;;;;1005;Win;78.9;;;;Aviozek;Win;78.9;;;;Aviozek;1005;Win;78.9;;;;;;;;;31;;06.12.2021;;1005;;;;;;;;
Wrangler60(885);0;70.6;49;06.gru.21;;885;Lose;70.6;49;06.12.2021;;Wrangler60;Lose;70.6;49;06.12.2021;;Wrangler60;885;Lose;70.6;49;06.12.2021;;;Wrangler60;Aviozek;;;;;;;;885;;;;;;;
Aviozek(997);1;67.6;;;;997;Win;67.6;;;;Aviozek;Win;67.6;;;;Aviozek;997;Win;67.6;;;;;;;;;49;;06.12.2021;;997;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
